time,open,high,low,close,EMA Fast,EMA Slow,LongSignal,ShortSignal
1770389760,24926.228560632306,24926.228560632306,24854,24881.875,24871.092957958557,24838.342930069408,1,
1770389880,24904.051780316153,24904.051780316153,24847.75,24873.25,24871.289052689597,24839.71183477257,1,
1770390000,24888.650890158075,24888.650890158075,24804,24835.25,24868.01277517236,24839.53686085992,,
1770390120,24861.950445079037,24861.950445079037,24793.25,24810.625,24862.795704702145,24838.403062394824,,
1770390240,24836.28772253952,24850,24782.5,24809.3125,24857.933595183767,24837.2622560264,,
1770390360,24822.80011126976,24822.80011126976,24758,24793,24852.030541076154,24835.526481280267,,
1770390480,24807.90005563488,24812,24770.25,24790.625,24846.44821916014,24833.76563887712,,
1770390600,24799.26252781744,24870.5,24789,24823.6875,24844.379062872853,24833.370417744685,,
1770390720,24811.47501390872,24852.25,24764.5,24810.5,24841.29914806623,24832.473538617443,,
1770390840,24810.98750695436,24810.98750695436,24763,24778.6875,24835.60718006021,24830.364282201073,,
1770390960,24794.83750347718,24840.5,24742,24793.0625,24831.73948187292,24828.901467212796,,
1770391080,24793.95000173859,24863,24792.5,24830,24831.5813471572,24828.944546929943,,
1770391200,24811.975000869294,24899.75,24811.975000869294,24867.3125,24834.829633779274,24830.44917254053,1,
1770391320,24839.643750434647,24905,24809.75,24853.4375,24836.52125798116,24831.350675578156,1,
1770391440,24846.540625217323,24890,24806.25,24849.75,24837.723870891965,24832.072217712346,1,
1770391560,24848.145312608664,24908,24848.145312608664,24886.8125,24842.18647353815,24834.218895449118,1,
1770391680,24867.47890630433,24916.25,24867.47890630433,24895.6875,24847.0502032165,24836.629428960918,1,
1770391800,24881.583203152164,24909.5,24859.75,24887.75,24850.75018474227,24838.63415723696,1,
1770391920,24884.666601576082,24921.25,24863.25,24894.875,24854.761531583885,24840.839680482568,1,
1770392040,24889.770800788043,24934.25,24889.770800788043,24922.25,24860.89684689444,24844.03224203227,1,
1770392160,24906.01040039402,24930.75,24902.25,24919.9375,24866.264178994945,24847.008918815318,1,
1770392280,24912.97395019701,24925.5,24909.75,24916.0625,24870.791299086315,24849.71690239119,1,
1770392400,24914.518225098505,24928.5,24905.75,24916.375,24874.93527189665,24852.33094543467,1,
1770392520,24915.446612549254,24947.5,24908.75,24925.6875,24879.549110815136,24855.207673064684,1,
1770392640,24920.567056274627,24941,24918,24930.0625,24884.141237104668,24858.14315647391,1,
1770392760,24925.31477813731,24962.25,24925.31477813731,24946.3125,24889.793170095152,24861.60077778866,1,
1770392880,24935.813639068656,24959.75,24907.75,24934.5625,24893.86310917741,24864.462021796946,1,
1770393000,24935.188069534328,24935.188069534328,24859.5,24888.75,24893.398281070375,24865.4144915304,1,
1770393120,24911.969034767164,24911.969034767164,24840.5,24857.8125,24890.163210063976,24865.116374215482,,
1770393240,24884.890767383582,24884.890767383582,24820,24851.125,24886.614281876344,24864.567692873698,,
1770393360,24868.00788369179,24888,24859.75,24875.5625,24885.60957443304,24864.998861780612,,
1770393480,24871.785191845895,24900.5,24865.75,24886.25,24885.667794939127,24865.83223975,1,
1770393600,24879.017595922945,24918.5,24879.017595922945,24902.6875,24887.215040853753,24867.27754407353,1,
1770393720,24890.852547961473,24951.5,24890.852547961473,24930.875,24891.184128048866,24869.771561953,1,
1770393840,24910.86377398074,24968.75,24910.86377398074,24953.625,24896.860570953515,24873.05993207249,1,
1770393960,24932.24438699037,24995,24932.24438699037,24970.125,24903.520973594106,24876.86640532455,1,
1770394080,24951.184693495183,24990.75,24951.184693495183,24979.4375,24910.42247599464,24880.888801194174,1,
1770394200,24965.31109674759,24998.75,24965.31109674759,24987,24917.384069086038,24885.050024676755,1,
